,faiss_dpr,faiss_longformer,es_dpr,es_longformer
0,0.0,0.0,0.13008130081300812,0.7692307692307692
1,0.0,0.0,0.0,0.5833333333333334
2,0.0,0.0,0.3076923076923077,0.8421052631578948
3,0.0,0.0,0.0,0.0
4,0.25,0.0,0.25,0.88
5,0.2222222222222222,0.08695652173913043,0.2222222222222222,0.5454545454545454
6,0.0,0.0,0.0,0.10526315789473685
7,0.0,0.0,0.0,0.14545454545454545
8,0.0,0.0,0.0,0.7499999999999999
9,0.1935483870967742,0.0,0.0,0.3913043478260869
10,0.0,0.0,0.10526315789473685,0.0
11,0.0,0.0,0.0,0.0
12,0.07407407407407407,0.0,0.06896551724137931,0.0
13,0.0,0.0,0.0,0.3076923076923077
14,0.2222222222222222,0.0,0.29090909090909095,0.7142857142857143
15,0.0,0.0,0.0,0.08695652173913043
16,0.0,0.0,0.4347826086956522,0.30769230769230765
17,0.0,0.0,0.5,0.0
18,0.0,0.0,0.0,1.0
19,0.0,0.0,0.07692307692307693,0.75
20,0.0,0.046511627906976744,0.0,0.7333333333333334
21,0.0,0.0,0.0,0.5806451612903226
22,0.0,0.0,0.25,0.0
23,0.0,0.0,0.7142857142857143,0.6153846153846153
24,0.15384615384615383,0.0,0.15384615384615383,0.6666666666666666
25,0.15384615384615383,0.0625,0.0909090909090909,0.0
26,0.2285714285714286,0.05714285714285715,0.0,0.0
27,0.19999999999999998,0.0,0.3636363636363636,0.0
28,0.0,0.0,0.3076923076923077,0.16666666666666669
29,0.5,0.0,0.07407407407407407,0.4
30,0.11764705882352941,0.0,0.0,0.9375
31,0.0,0.05405405405405406,0.12121212121212122,0.13953488372093023
32,0.0,0.0,0.0,0.6
33,0.0,0.0,0.0,0.3333333333333333
34,0.07692307692307693,0.06896551724137931,0.07407407407407407,0.8
35,0.0,0.0,0.0,0.049999999999999996
36,0.0,0.0,0.0,1.0
37,0.22222222222222224,0.0,0.0,0.7142857142857143
38,0.058823529411764705,0.0,0.0,0.0
39,0.33333333333333326,0.05128205128205129,0.33333333333333326,0.33333333333333326
40,0.5882352941176471,0.0,0.0,0.0
41,0.0,0.0,0.0909090909090909,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0588235294117647
44,0.0,0.0,0.19999999999999998,0.8888888888888888
45,0.0,0.05714285714285714,0.13793103448275865,0.10256410256410256
46,0.0,0.07142857142857142,0.0,0.8888888888888888
47,0.19999999999999998,0.0,0.5714285714285714,0.9473684210526316
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,0.13333333333333333,0.0,0.125,0.17391304347826086
51,0.0,0.0,0.0,0.21052631578947367
52,0.0,0.0,0.28571428571428575,0.0
53,0.07692307692307691,0.06060606060606061,0.0,0.0
54,0.0,0.11111111111111112,0.0,0.6153846153846153
55,0.23809523809523808,0.0,0.0,0.19999999999999998
56,0.0,0.0,0.0,1.0
57,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.13333333333333333
